accession_number,filing_date,amendment_date,is_amendment,entity_name,jurisdiction_of_incorporation,year_of_incorporation,entity_type,issuer_street1,issuer_street2,issuer_city,issuer_state,issuer_zip,issuer_phone,naics_code,industry_group,total_offering_amount,total_amount_sold,total_remaining,has_non_accredited_investors,total_number_of_investors,minimum_investment,equity_type,debt_type,partnership_interest,securities_other_desc,business_combination,revenue_range,aggregate_net_asset_value_range,rule_506b,rule_506c,rule_504b,section_3c,section_3c1,section_3c7,primary_officer_name,primary_officer_title,related_person_names,broker_dealer_name,broker_dealer_crd,uses_intermediary,offering_sales_commissions,finders_fees,offering_date,termination_date,more_than_one_year
0001234567-13-000000,2013-08-24,,True,Hadestown Broadway LLC,NV,2013,Corporation,868 Broadway,,New York,CA,10413,212-555-3051,711110,Theatrical Production,20222008.19,17756139.08,2465869.11,True,27,500000,False,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 0,Managing Member,"John Doe 0, Jane Smith 0",,912311,False,887806.95,355122.78,2013-07-06,,False
0001234567-20-000001,2020-08-25,,False,The Kite Runner Theatrical LP,DE,2018,Limited Partnership,889 Broadway,,New York,MA,10532,212-555-5500,711110,Theatrical Production,2894421.79,2808321.18,86100.61,False,388,50000,False,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 1,Managing Member,"John Doe 1, Jane Smith 1",Broadway Capital Partners,622432,False,,,2020-07-17,,True
0001234567-19-000002,2019-08-29,,False,POTUS Broadway Productions,CA,2019,Corporation,107 Broadway,Suite 881,New York,PA,10720,212-555-9242,711110,Theatrical Production,18263089.78,7457439.31,10805650.47,True,143,500000,True,False,True,,False,$5-25M,,True,False,True,False,False,False,John Doe 2,Managing Member,"John Doe 2, Jane Smith 2",Broadway Capital Partners,364905,False,,,2019-05-11,,True
0001234567-16-000003,2016-11-19,,False,MJ the Musical Productions,CT,2015,Corporation,32 Broadway,,New York,CT,10888,212-555-6791,711110,Theatrical Production,72558184.39,29170442.12,43387742.27,True,58,100000,False,True,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 3,Managing Member,"John Doe 3, Jane Smith 3",Broadway Capital Partners,,False,,,2016-10-03,,False
0001234567-10-000004,2010-02-13,,False,Music Man Productions LLC,IL,2009,Corporation,234 Broadway,Suite 704,New York,CT,10901,212-555-2718,711110,Theatrical Production,54730821.85,50166915.21,4563906.64,False,34,1000000,True,False,True,,False,$5-25M,,True,False,False,False,False,False,John Doe 4,Managing Member,"John Doe 4, Jane Smith 4",,415136,False,2508345.76,,2009-12-04,,True
0001234567-22-000005,2022-07-21,,False,Phantom of the Opera LLC,CT,2022,Limited Partnership,51 Broadway,Suite 222,New York,NY,10757,212-555-8901,711110,Theatrical Production,5878666.59,5272813.55,605853.04,False,156,100000,False,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 5,Managing Member,"John Doe 5, Jane Smith 5",Broadway Capital Partners,,False,,,2022-05-24,,True
0001234567-14-000006,2014-01-31,,False,Six the Musical LLC,CA,2012,Limited Liability Company,463 Broadway,,New York,IL,10575,212-555-1784,711110,Theatrical Production,2154223.87,1111988.59,1042235.28,False,32,500000,False,True,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 6,Managing Member,"John Doe 6, Jane Smith 6",,,False,,,2013-09-10,,True
0001234567-17-000007,2017-07-24,,True,Aladdin Theatrical Productions,NJ,2016,Limited Liability Company,184 Broadway,,New York,IL,10509,212-555-1263,711110,Theatrical Production,17258585.05,7546543.84,9712041.21,False,77,250000,False,True,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 7,Managing Member,"John Doe 7, Jane Smith 7",Broadway Capital Partners,,False,,,2017-02-24,,False
0001234567-24-000008,2024-04-04,,False,Les Misérables Broadway Productions,CT,2021,Limited Liability Company,631 Broadway,Suite 443,New York,TX,10813,212-555-8310,711110,Theatrical Production,5672043.45,2415350.5,3256692.95,False,352,250000,True,False,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 8,Managing Member,"John Doe 8, Jane Smith 8",,,True,120767.53,,2023-11-22,,True
0001234567-10-000009,2010-07-26,,True,Hamilton Productions LLC,NV,2008,Corporation,243 Broadway,Suite 1886,New York,CT,10018,212-555-5783,711110,Theatrical Production,9472699.67,5731038.05,3741661.62,False,61,500000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 9,Managing Member,"John Doe 9, Jane Smith 9",,,False,,,2010-05-18,,False
0001234567-21-000010,2021-10-16,,False,Harry Potter and the Cursed Child LLC,NJ,2018,Limited Partnership,389 Broadway,,New York,NJ,10299,212-555-2254,711110,Theatrical Production,1467301.16,973497.69,493803.47,False,54,100000,True,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 10,Managing Member,"John Doe 10, Jane Smith 10",Broadway Capital Partners,,False,48674.88,,2021-05-08,,True
0001234567-13-000011,2013-04-16,,False,Jersey Boys Productions,IL,2010,Corporation,553 Broadway,Suite 361,New York,CT,10975,212-555-8205,711110,Theatrical Production,3382766.59,2941515.31,441251.28,False,16,250000,True,True,False,,False,$5-25M,,False,False,False,False,False,False,John Doe 11,Managing Member,"John Doe 11, Jane Smith 11",,,False,147075.77,,2013-02-06,,False
0001234567-10-000012,2010-03-15,,True,Company Broadway Productions,DE,2010,Corporation,577 Broadway,,New York,NJ,10435,212-555-1460,711110,Theatrical Production,2032924.78,1887183.55,145741.23,True,63,250000,False,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 12,Managing Member,"John Doe 12, Jane Smith 12",,,False,94359.18,,2010-01-13,,False
0001234567-11-000013,2011-04-16,,False,Hadestown Broadway LLC,CT,2009,Corporation,842 Broadway,,New York,IL,10373,212-555-8893,711110,Theatrical Production,6867620.66,6253594.5,614026.16,False,53,1000000,False,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 13,Managing Member,"John Doe 13, Jane Smith 13",,,False,312679.73,,2011-01-13,,True
0001234567-22-000014,2022-08-02,,False,Ohio State Murders LLC,CT,2019,Corporation,484 Broadway,,New York,CT,10649,212-555-7184,711110,Theatrical Production,7105257.01,5835238.09,1270018.92,False,461,50000,False,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 14,Managing Member,"John Doe 14, Jane Smith 14",,271745,False,,,2022-04-17,,False
0001234567-13-000015,2013-02-25,,False,Back to the Future Musical LLC,NY,2013,Corporation,544 Broadway,,New York,NJ,10739,212-555-9375,711110,Theatrical Production,15091911.01,13637594.78,1454316.23,True,12,1000000,True,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 15,Managing Member,"John Doe 15, Jane Smith 15",,,False,,,2012-09-18,,False
0001234567-24-000016,2024-12-17,,False,Sweeney Todd Productions,CA,2023,Limited Partnership,960 Broadway,Suite 1867,New York,IL,10564,212-555-3267,711110,Theatrical Production,14415075.97,8217902.55,6197173.42,True,248,25000,True,True,True,,False,Over $100M,,False,True,False,False,False,False,John Doe 16,Managing Member,"John Doe 16, Jane Smith 16",Broadway Capital Partners,,False,,,2024-10-21,,True
0001234567-17-000017,2017-08-19,,True,The Kite Runner Theatrical LP,NJ,2015,Limited Partnership,907 Broadway,Suite 792,New York,NJ,10317,212-555-1099,711110,Theatrical Production,74134133.76,31497104.11,42637029.65,False,174,50000,True,False,False,,False,$5-25M,,False,True,False,False,False,False,John Doe 17,Managing Member,"John Doe 17, Jane Smith 17",,,True,1574855.21,,2017-05-14,,False
0001234567-18-000018,2018-06-30,,False,POTUS Broadway Productions,CA,2016,Limited Liability Company,209 Broadway,Suite 1215,New York,NJ,10267,212-555-1874,711110,Theatrical Production,14429615.07,12576775.75,1852839.32,False,189,250000,True,False,True,,False,$5-25M,,True,False,False,False,False,False,John Doe 18,Managing Member,"John Doe 18, Jane Smith 18",Broadway Capital Partners,,False,,,2018-01-23,,False
0001234567-12-000019,2012-06-06,,False,A Strange Loop LLC,CT,2009,Limited Partnership,976 Broadway,Suite 1648,New York,NY,10919,212-555-2225,711110,Theatrical Production,2596549.56,2307456.49,289093.07,True,20,250000,False,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 19,Managing Member,"John Doe 19, Jane Smith 19",,,False,,,2012-04-27,,False
0001234567-23-000020,2023-04-20,,True,Come From Away Productions,DE,2021,Limited Partnership,785 Broadway,,New York,MA,10621,212-555-8869,711110,Theatrical Production,2162675.45,907714.74,1254960.71,False,78,100000,False,False,True,,False,Over $100M,,True,True,False,False,False,False,John Doe 20,Managing Member,"John Doe 20, Jane Smith 20",,,False,45385.74,18154.29,2023-02-11,,True
0001234567-23-000021,2023-12-06,,False,Aladdin Theatrical Productions,CT,2020,Limited Liability Company,424 Broadway,,New York,TX,10913,212-555-8814,711110,Theatrical Production,33862152.38,30715014.32,3147138.06,True,99,100000,True,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 21,Managing Member,"John Doe 21, Jane Smith 21",,,False,,,2023-09-13,,False
0001234567-24-000022,2024-07-02,,False,Kimberly Akimbo LLC,NV,2023,Limited Partnership,340 Broadway,,New York,NJ,10327,212-555-5104,711110,Theatrical Production,9255100.97,3879598.83,5375502.14,False,356,50000,False,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 22,Managing Member,"John Doe 22, Jane Smith 22",,,False,,,2024-04-12,,False
0001234567-15-000023,2015-02-22,,True,Aladdin Theatrical Productions,NV,2014,Corporation,543 Broadway,Suite 870,New York,NJ,10878,212-555-1308,711110,Theatrical Production,6271805.02,3488044.39,2783760.63,False,186,500000,False,False,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 23,Managing Member,"John Doe 23, Jane Smith 23",,,False,174402.22,,2015-01-07,,False
0001234567-17-000024,2017-03-16,,True,Cabaret Revival LLC,DE,2017,Limited Partnership,945 Broadway,Suite 978,New York,CA,10717,212-555-9677,711110,Theatrical Production,27972836.71,17899740.5,10073096.21,False,174,100000,False,False,True,,False,$1-5M,,False,True,True,False,False,False,John Doe 24,Managing Member,"John Doe 24, Jane Smith 24",,,False,894987.03,,2017-01-23,,True
0001234567-19-000025,2019-05-05,,False,Les Misérables Broadway Productions,NY,2018,Corporation,801 Broadway,,New York,CA,10299,212-555-8521,711110,Theatrical Production,14461487.98,8440016.69,6021471.29,False,133,50000,False,False,True,,False,$25-100M,,False,False,False,False,False,False,John Doe 25,Managing Member,"John Doe 25, Jane Smith 25",,,False,,,2019-01-25,,True
0001234567-23-000026,2023-08-27,,True,Jersey Boys Productions,NY,2020,Corporation,974 Broadway,,New York,CT,10287,212-555-8222,711110,Theatrical Production,29020087.97,24993836.15,4026251.82,False,127,50000,True,False,False,,False,$1-5M,,True,True,False,False,False,False,John Doe 26,Managing Member,"John Doe 26, Jane Smith 26",,,True,1249691.81,,2023-06-20,,False
0001234567-16-000027,2016-09-08,,False,Kinky Boots Broadway LLC,DE,2015,Corporation,393 Broadway,Suite 901,New York,NY,10710,212-555-5690,711110,Theatrical Production,2701368.43,1099603.44,1601764.99,False,137,100000,True,False,True,,False,$25-100M,,False,False,False,False,False,False,John Doe 27,Managing Member,"John Doe 27, Jane Smith 27",Broadway Capital Partners,,False,,,2016-06-27,,True
0001234567-17-000028,2017-06-04,,False,Life of Pi Broadway LLC,DE,2017,Corporation,314 Broadway,,New York,MA,10214,212-555-5495,711110,Theatrical Production,12844020.2,8289819.76,4554200.44,False,88,100000,True,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 28,Managing Member,"John Doe 28, Jane Smith 28",Broadway Capital Partners,,False,,,2017-02-02,,False
0001234567-22-000029,2022-06-11,,False,Phantom of the Opera LLC,NY,2020,Limited Partnership,794 Broadway,Suite 1329,New York,TX,10017,212-555-4670,711110,Theatrical Production,8788479.59,7383233.56,1405246.03,False,212,250000,True,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 29,Managing Member,"John Doe 29, Jane Smith 29",Broadway Capital Partners,,False,,,2021-12-22,,True
0001234567-13-000030,2013-10-19,,False,Paradise Square Productions,NV,2010,Limited Liability Company,577 Broadway,Suite 1658,New York,TX,10828,212-555-3756,711110,Theatrical Production,3272474.06,2234323.16,1038150.9,False,15,100000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 30,Managing Member,"John Doe 30, Jane Smith 30",,,True,,,2013-08-25,,False
0001234567-13-000031,2013-04-14,,True,Spring Awakening Productions,CA,2011,Limited Liability Company,320 Broadway,,New York,MA,10806,212-555-5929,711110,Theatrical Production,26192449.52,22651017.72,3541431.8,True,32,500000,True,False,False,,False,$25-100M,,False,False,False,False,False,False,John Doe 31,Managing Member,"John Doe 31, Jane Smith 31",,,False,,,2013-01-18,,True
0001234567-19-000032,2019-08-01,,False,Into the Woods Musical LLC,NV,2017,Limited Partnership,59 Broadway,Suite 285,New York,PA,10801,212-555-1763,711110,Theatrical Production,9159210.02,4170924.31,4988285.71,False,50,500000,True,False,False,,False,$25-100M,,False,False,False,False,False,False,John Doe 32,Managing Member,"John Doe 32, Jane Smith 32",,298891,False,208546.22,,2019-04-02,,True
0001234567-13-000033,2013-10-07,,False,Into the Woods Musical LLC,DE,2010,Corporation,122 Broadway,,New York,NY,10046,212-555-8125,711110,Theatrical Production,6584764.41,5259358.15,1325406.26,False,21,1000000,False,False,True,,False,$25-100M,,True,False,False,False,False,False,John Doe 33,Managing Member,"John Doe 33, Jane Smith 33",Broadway Capital Partners,376543,False,,,2013-07-14,,False
0001234567-12-000034,2012-04-29,,False,Back to the Future Musical LLC,NY,2009,Limited Partnership,356 Broadway,Suite 130,New York,IL,10157,212-555-3071,711110,Theatrical Production,6900401.83,6253626.59,646775.24,True,84,500000,True,True,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 34,Managing Member,"John Doe 34, Jane Smith 34",,893994,False,,,2012-01-01,,False
0001234567-16-000035,2016-05-15,,False,The Kite Runner Theatrical LP,NY,2016,Limited Liability Company,142 Broadway,Suite 190,New York,CA,10375,212-555-2353,711110,Theatrical Production,8478659.99,4031141.51,4447518.48,True,47,250000,True,False,True,,False,$5-25M,,True,False,False,False,False,False,John Doe 35,Managing Member,"John Doe 35, Jane Smith 35",,,False,,,2016-03-05,,True
0001234567-18-000036,2018-06-26,,True,Sweeney Todd Productions,IL,2016,Limited Liability Company,546 Broadway,,New York,NY,10101,212-555-2187,711110,Theatrical Production,40588085.94,31966580.11,8621505.83,False,143,500000,False,False,True,,False,Over $100M,,True,True,False,False,False,False,John Doe 36,Managing Member,"John Doe 36, Jane Smith 36",,,False,,,2018-02-26,,False
0001234567-15-000037,2015-12-21,,False,Frozen Broadway LLC,DE,2015,Limited Liability Company,908 Broadway,,New York,NY,10785,212-555-1616,711110,Theatrical Production,11174885.25,8826461.08,2348424.17,False,135,250000,True,True,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 37,Managing Member,"John Doe 37, Jane Smith 37",,638499,True,,,2015-10-04,,False
0001234567-23-000038,2023-07-20,,False,Jersey Boys Productions,DE,2020,Limited Liability Company,901 Broadway,Suite 354,New York,CT,10202,212-555-6485,711110,Theatrical Production,2628528.08,1357661.31,1270866.77,False,188,100000,False,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 38,Managing Member,"John Doe 38, Jane Smith 38",,545331,False,,27153.23,2023-04-22,,False
0001234567-14-000039,2014-06-09,,False,The Kite Runner Theatrical LP,DE,2012,Corporation,404 Broadway,Suite 1076,New York,MA,10018,212-555-6477,711110,Theatrical Production,8835316.47,5924550.83,2910765.64,False,94,500000,False,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 39,Managing Member,"John Doe 39, Jane Smith 39",,358078,True,296227.54,,2014-03-03,,True
0001234567-14-000040,2014-04-11,,False,Some Like It Hot Broadway LLC,DE,2012,Limited Partnership,912 Broadway,Suite 1244,New York,TX,10260,212-555-4885,711110,Theatrical Production,10686150.22,9137115.17,1549035.05,False,43,1000000,False,False,False,,False,Over $100M,,True,True,False,False,False,False,John Doe 40,Managing Member,"John Doe 40, Jane Smith 40",,,True,,182742.3,2014-02-19,,False
0001234567-16-000041,2016-08-15,,False,Harry Potter and the Cursed Child LLC,NY,2013,Corporation,408 Broadway,,New York,PA,10288,212-555-4959,711110,Theatrical Production,769383.0,587808.71,181574.29,False,139,250000,False,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 41,Managing Member,"John Doe 41, Jane Smith 41",Broadway Capital Partners,,False,,,2016-02-24,,True
0001234567-24-000042,2024-01-09,,False,Come From Away Productions,IL,2021,Limited Partnership,529 Broadway,,New York,CT,10578,212-555-2410,711110,Theatrical Production,6547452.49,2650366.59,3897085.9,False,494,50000,True,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 42,Managing Member,"John Doe 42, Jane Smith 42",,,True,,53007.33,2023-09-25,,False
0001234567-18-000043,2018-02-23,,False,Cabaret Revival LLC,IL,2016,Limited Partnership,547 Broadway,Suite 1319,New York,MA,10193,212-555-6171,711110,Theatrical Production,2260381.78,1923540.47,336841.31,False,126,500000,True,False,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 43,Managing Member,"John Doe 43, Jane Smith 43",Broadway Capital Partners,290965,False,,,2017-10-23,,False
0001234567-22-000044,2022-11-18,,False,Chicago Musical Productions,NJ,2020,Corporation,228 Broadway,,New York,CA,10814,212-555-7316,711110,Theatrical Production,31742853.57,14517883.09,17224970.48,False,320,25000,True,True,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 44,Managing Member,"John Doe 44, Jane Smith 44",Broadway Capital Partners,,False,725894.15,,2022-09-14,,True
0001234567-23-000045,2023-05-18,,True,Anastasia Broadway LLC,NV,2020,Corporation,969 Broadway,Suite 1377,New York,NY,10995,212-555-5672,711110,Theatrical Production,41328068.55,36373882.23,4954186.32,False,186,50000,False,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 45,Managing Member,"John Doe 45, Jane Smith 45",,724470,False,,,2022-12-04,,False
0001234567-21-000046,2021-11-13,,False,Waitress Musical Productions,CA,2020,Corporation,493 Broadway,Suite 474,New York,CT,10331,212-555-5266,711110,Theatrical Production,1153424.53,918551.99,234872.54,False,253,25000,True,False,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 46,Managing Member,"John Doe 46, Jane Smith 46",Broadway Capital Partners,963006,False,,,2021-09-30,,True
0001234567-23-000047,2023-01-21,,True,Anastasia Broadway LLC,NV,2020,Limited Partnership,303 Broadway,Suite 972,New York,NY,10914,212-555-8789,711110,Theatrical Production,4134938.61,2645318.26,1489620.35,True,189,250000,False,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 47,Managing Member,"John Doe 47, Jane Smith 47",,,False,132265.91,,2022-07-30,,True
0001234567-14-000048,2014-03-20,,False,Jersey Boys Productions,CT,2013,Limited Liability Company,138 Broadway,Suite 1670,New York,IL,10216,212-555-1202,711110,Theatrical Production,21099341.79,10251890.68,10847451.11,False,49,100000,True,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 48,Managing Member,"John Doe 48, Jane Smith 48",,,False,,,2013-12-08,,False
0001234567-15-000049,2015-07-20,,False,Hadestown Broadway LLC,NY,2013,Limited Liability Company,273 Broadway,,New York,CT,10123,212-555-7537,711110,Theatrical Production,2723479.52,1134806.22,1588673.3,True,68,50000,False,False,True,,False,$25-100M,,False,True,False,False,False,False,John Doe 49,Managing Member,"John Doe 49, Jane Smith 49",,,False,,,2015-02-02,,True
0001234567-19-000050,2019-02-12,,False,Harry Potter and the Cursed Child LLC,NJ,2017,Corporation,753 Broadway,Suite 1575,New York,PA,10284,212-555-8538,711110,Theatrical Production,1160080.68,549828.95,610251.73,True,75,100000,True,True,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 50,Managing Member,"John Doe 50, Jane Smith 50",Broadway Capital Partners,,True,,,2018-11-12,,False
0001234567-13-000051,2013-04-19,,False,Ohio State Murders LLC,NJ,2013,Corporation,872 Broadway,,New York,MA,10256,212-555-3790,711110,Theatrical Production,1407876.26,1296386.24,111490.02,False,59,500000,True,False,False,,False,$5-25M,,False,False,False,False,False,False,John Doe 51,Managing Member,"John Doe 51, Jane Smith 51",,770098,False,,,2013-01-03,,False
0001234567-19-000052,2019-03-09,,False,Mrs. Doubtfire Broadway LP,CT,2019,Limited Liability Company,97 Broadway,Suite 555,New York,CT,10995,212-555-9913,711110,Theatrical Production,3459795.81,2306276.09,1153519.72,False,76,100000,True,True,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 52,Managing Member,"John Doe 52, Jane Smith 52",Broadway Capital Partners,,True,,,2019-01-06,,False
0001234567-16-000053,2016-03-03,,False,Come From Away Productions,CT,2014,Limited Liability Company,357 Broadway,,New York,NJ,10764,212-555-5796,711110,Theatrical Production,12489567.09,8965866.91,3523700.18,True,39,100000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 53,Managing Member,"John Doe 53, Jane Smith 53",,,False,448293.35,179317.34,2015-11-14,,False
0001234567-20-000054,2020-10-17,,False,Book of Mormon LLC,IL,2018,Limited Partnership,61 Broadway,,New York,IL,10090,212-555-4398,711110,Theatrical Production,52169315.88,47805152.96,4364162.92,False,381,50000,False,False,False,,False,$1-5M,,False,True,False,False,False,False,John Doe 54,Managing Member,"John Doe 54, Jane Smith 54",,,False,,,2020-06-10,,False
0001234567-18-000055,2018-01-08,,True,Book of Mormon LLC,CA,2016,Corporation,142 Broadway,Suite 1359,New York,NJ,10719,212-555-3129,711110,Theatrical Production,11697584.81,10944771.27,752813.54,False,94,100000,True,False,True,,False,Over $100M,,True,True,False,False,False,False,John Doe 55,Managing Member,"John Doe 55, Jane Smith 55",,,False,,,2017-09-25,,False
0001234567-17-000056,2017-08-08,,False,Frozen Broadway LLC,NJ,2016,Limited Liability Company,975 Broadway,Suite 1452,New York,TX,10343,212-555-6705,711110,Theatrical Production,1156234.19,843144.12,313090.07,True,138,500000,True,False,False,,False,Over $100M,,False,True,False,False,False,False,John Doe 56,Managing Member,"John Doe 56, Jane Smith 56",Broadway Capital Partners,,False,,,2017-04-28,,False
0001234567-14-000057,2014-04-17,,False,Kinky Boots Broadway LLC,NV,2014,Corporation,9 Broadway,Suite 727,New York,IL,10967,212-555-4199,711110,Theatrical Production,10495274.34,8224034.67,2271239.67,False,12,250000,False,True,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 57,Managing Member,"John Doe 57, Jane Smith 57",,,False,411201.73,,2013-11-20,,True
0001234567-13-000058,2013-05-01,,False,The Kite Runner Theatrical LP,NJ,2010,Corporation,44 Broadway,,New York,IL,10043,212-555-4743,711110,Theatrical Production,1479214.17,865779.56,613434.61,False,76,100000,False,False,False,,False,$1-5M,,True,True,False,False,False,False,John Doe 58,Managing Member,"John Doe 58, Jane Smith 58",Broadway Capital Partners,688671,False,,,2013-02-15,,False
0001234567-19-000059,2019-03-16,,True,Dear Evan Hansen LLC,IL,2018,Limited Partnership,547 Broadway,,New York,CA,10144,212-555-6112,711110,Theatrical Production,32223332.98,13080551.59,19142781.39,False,111,50000,False,False,True,,False,$25-100M,,False,False,False,False,False,False,John Doe 59,Managing Member,"John Doe 59, Jane Smith 59",,769180,False,,,2018-10-03,,False
0001234567-18-000060,2018-03-09,,False,Waitress Musical Productions,CT,2018,Limited Liability Company,557 Broadway,Suite 1173,New York,CT,10255,212-555-6084,711110,Theatrical Production,1142827.22,716293.21,426534.01,False,126,50000,False,False,True,,False,$5-25M,,False,False,False,False,False,False,John Doe 60,Managing Member,"John Doe 60, Jane Smith 60",,299503,False,35814.66,,2018-01-24,,False
0001234567-16-000061,2016-01-17,,False,Dear Evan Hansen LLC,NJ,2015,Limited Liability Company,634 Broadway,,New York,CT,10236,212-555-6754,711110,Theatrical Production,2111580.33,983375.76,1128204.57,False,89,250000,True,False,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 61,Managing Member,"John Doe 61, Jane Smith 61",Broadway Capital Partners,136655,False,,,2015-11-19,,False
0001234567-13-000062,2013-05-08,,False,Six the Musical LLC,IL,2010,Limited Liability Company,80 Broadway,Suite 1927,New York,TX,10240,212-555-8954,711110,Theatrical Production,30772911.21,21349436.78,9423474.43,False,51,100000,True,False,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 62,Managing Member,"John Doe 62, Jane Smith 62",,485846,False,,,2013-01-15,,True
0001234567-23-000063,2023-09-06,,True,Jersey Boys Productions,NJ,2022,Corporation,354 Broadway,,New York,IL,10838,212-555-8908,711110,Theatrical Production,11480255.3,10705003.54,775251.76,True,276,50000,True,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 63,Managing Member,"John Doe 63, Jane Smith 63",Broadway Capital Partners,,False,,,2023-04-19,,False
0001234567-24-000064,2024-10-28,,False,Some Like It Hot Broadway LLC,DE,2021,Limited Liability Company,103 Broadway,,New York,NJ,10020,212-555-2713,711110,Theatrical Production,17380709.65,15872625.83,1508083.82,False,260,250000,True,False,False,,False,$5-25M,,False,False,False,False,False,False,John Doe 64,Managing Member,"John Doe 64, Jane Smith 64",,,False,,,2024-05-20,,True
